rg,cpf
ce95c96a.216,975aeb4d.bcb0.
c4d14d2d.0a1,f3a264c3.da7f.
a2482855.b2f,37f049c5.1bc4.
48db44bd.f50,942e7dfb.42a6.
ae1a1012.251,b15a5668.efe1.
fa1bd2ca.c78,4bebe09a.1fec.
e83a764f.dda,e32c6f21.c3b4.
757e8926.173,14146f92.71d6.
e318096c.415,9924c5af.d7af.
9a5c02b8.db6,29d9274b.66d8.
4a1d2554.3cb,ba95a516.5790.
f09abbe1.dfc,7b6eb9b3.7525.
a1b4aaf3.7a4,1f9fe3d1.a947.
303e2b6d.766,94dcade8.a956.
29be432b.7c4,8cb95462.0367.
efb8874a.425,c21cb91b.a4cc.
2d3bdc01.d32,ed7b3ceb.68b6.
8156319d.f5e,6d5c3cb9.621c.
937aeeff.a1b,797dc53d.7f69.
5da0ecf4.41d,55420212.d504.
0987a179.9c6,66cef04f.35ab.
6ee05b3c.d0c,c6e98411.ee7d.
10311b38.349,ab0751e3.11d5.
2a231ee9.704,9755abb0.5b3f.
f6d5922d.6d8,9cb12914.2442.
4722f89d.abf,f5a6f298.b5af.
4f4b0f1a.89c,8a1163c6.96db.
b2e858bf.b13,88bc9443.8d37.
f636baa2.ae8,48d759b5.9e8f.
0ecbacf9.9b4,1666660f.ca55.
8c384b69.c42,e11fa812.0bff.
3bd03199.be3,d19ed5e9.e0b6.
d14d479c.2ce,e39a2b14.846e.
5128dd75.80a,1e790978.cf03.
37bc3921.d0b,21ec258f.43c8.
e5d88f2c.dc0,1613e329.4deb.
12bd509c.bcd,3478998c.4735.
1e6c3d0b.4f5,be04c3da.3e62.
16c5f300.e8f,1acd7f89.7db9.
d6a97a95.f7d,250fd75c.9fd0.
0f5d3712.6bf,810576b9.2600.
e71798bd.349,cb8a6df7.84cc.
9342dfad.f3f,ea183c62.ea81.
ea45f574.eba,67a9a3bd.8fa0.
b89ebd8a.336,5433a359.3f0e.
df0b926d.24d,23123928.75b7.
2b59cbde.b9c,0044ab55.465b.
cb6b0c48.7eb,80848851.c534.
c6df2f1f.6a9,da217b2a.0b71.
bd0115ad.7a4,96e254e2.7639.
1881fd2a.22c,2a8ad048.611d.
24bd5fe2.53a,5ef5f816.ba8e.
1de5342c.449,5460a4dc.8b26.
24388a28.4c6,71fe8d35.ea1f.
119b6d71.ab0,15fced89.55b7.
c010ef40.3ca,68ea38cb.2a32.
0ffc55a9.2b7,9555daa6.3112.
84c5f811.9bd,3a781af8.c2a0.
205f6c4a.36e,e5fc74ea.3d15.
57f81e23.85a,99febf9c.b456.
888e49a0.52b,fee8ba61.bf3b.
8d8d3619.a14,8ad96fe5.cab0.
a6545313.742,ef08a983.ad93.
89b8adb1.eae,0f251fd0.6648.
6122ff2d.170,37b20cc4.1fc3.
22ca97b7.955,11728202.f25d.
bf0c8752.e2a,84bbf47e.6b7b.
559ed6c7.f37,a774be58.0af4.
1e7fe4c8.608,9e3e385b.08e3.
61223f58.1b4,1e2df5a1.4d55.
0ea64019.492,58f32404.14b3.
0f52cb79.580,d6187946.7d0e.
cc3614ac.7c9,fe14678e.cdaf.
6867fef7.cd7,484d48af.1a39.
93a352b2.345,386fa7d4.7b95.
f5a134f4.794,5e8cd7e9.7ed4.
4bd5ef4b.3b7,dbebaa1a.502b.
f6f47375.be5,68b95b44.bb9a.
1203f7eb.84a,7d0c554d.6c94.
a959a3a6.68b,f0e7303f.aa8e.
88e084ca.dc0,fdee8602.a26a.
0d9384d9.cc2,3b82be42.dd37.
d3023654.a5b,473a6fa1.1fdb.
edc509be.834,89b84039.31e4.
4c7bfe41.282,ff36fdd3.5851.
bcf819ad.2fc,631289d0.818b.
f592fe44.897,c0f5eff4.c1bd.
9cae0580.090,1016ae47.6d95.
db82f40f.088,a2ad8a37.a042.
46751920.38d,75d7e5f0.a806.
44dcc7c7.a74,3fea0140.0ee0.
03abc943.6b5,a48dbf0b.2a61.
a611fb8d.a0b,7899f0ef.5d69.
02c86d1f.ba0,6a695098.0b25.
a2278268.46c,bc72e645.c307.
ef432efd.7c8,cf8e0f47.ad17.
b01e7f24.080,797e5450.369b.
ff823b1e.185,9978c089.7c66.
1f8b152a.1b7,9f694e2a.e1fd.
b8e8f7d1.ff7,03173761.5401.
41df45b6.e6b,5b8f4861.b821.
c63f2416.68c,6f5ccdda.2afc.
a8a7a21b.800,8f0db8ff.d001.
8396f31b.488,d5981c7a.fd29.
a3177df4.a9f,46e6d605.9318.
dbd8d57d.672,62d697f1.9b32.
f2ccadb5.817,458f49db.d80d.
643a3b25.4cb,1ed4991e.f0f7.
116b6951.35f,96ecad62.13cd.
9e76ecab.52b,ee65ca99.e1ee.
2028fc32.ab7,3ca35513.6883.
5fd35768.7fe,6b8d4bcc.474d.
949f1ec8.2bb,eb137b05.b53b.
a2ff16ad.aef,d3a01fbf.072a.
b909f58a.18d,9709bbb5.c757.
178fd116.699,19bffc3e.f68b.
e226d983.950,8fb62d46.e598.
591e13a4.a3c,77f8bc4e.33a9.
1d251ddf.eaa,6d4fd601.8a37.
017a2d87.ba1,435a44e2.ed31.
7e10d125.49c,57840cf9.e59b.
83c63fb4.5b7,0cf7b31d.853e.
7aea349e.09d,e57cbaa3.387f.
6a5ab313.4ff,d4415b29.ec71.
a425aac9.0ee,b3c8673f.89d4.
4c65d72a.f6a,0582f102.706b.
278973d0.6f2,82389e9b.7911.
bd561742.438,38198ec9.c685.
e08edb2c.5cc,5982bed9.de5d.
694deb9e.49c,a2503902.8280.
d6f21e1e.657,75f5f033.4cea.
16fb8783.0d3,fbb49acc.5f67.
636b2170.e0c,3c7fd5c0.3c7f.
189c06d2.e60,8f0adab7.c9cd.
394074e5.583,3a03549b.10f8.
2ddeb66b.9f8,701b6f98.528b.
26e80702.f5c,fac7d57a.88e2.
69cd90d7.006,28c1c1d7.4315.
3a17f166.f53,8207881f.2dec.
daa35573.476,fe473092.929c.
262f435d.a00,6e01222d.b4ed.
63b10f4c.305,5030639c.4f6d.
ae9d6378.d47,a6c22e50.a8e4.
fa8ab9a9.229,4ca5e23b.d5e6.
0068a1a9.052,2b76c3e5.a18d.
008a59da.b2a,9a0d0017.9414.
d35429ea.7fe,a221c3aa.4412.
80b9eac0.928,64cd8700.e9d2.
038256d0.0e6,63911455.8c92.
15996ede.c6a,c294c071.adad.
84b9a774.1c5,2cae32ba.e3ef.
95b5a55e.181,e2193f84.7881.
0b5acd68.561,6e48bbff.6a6e.
cca8e111.435,2a86d527.9f49.
75f85ed8.922,39adbac6.2932.
e891c333.8cd,ab0948e2.65c8.
2c0cf091.ae1,7937e2b3.4f43.
76d95315.dda,4b2e8f89.daeb.
7d1f9a2d.d66,a6f56957.dfc1.
7240dd79.09e,56163d8a.22ea.
32917124.d4a,6d345571.8bb1.
c49b9516.aab,1bbbbf80.fb89.
b5d77f27.156,d1517ee6.66e6.
b22f05eb.914,d09f89f7.57e5.
27e98400.42d,fb9ca0c2.d99e.
632db329.2db,16ba81f9.a6ca.
a675caa8.019,0bdb2050.2da8.
59c9f65b.4ba,7bc56879.f341.
7673253c.5eb,86d7697a.d18c.
ed15e62a.0d3,5cbcc872.df6d.
7ee0a833.6c0,2eec6531.07a5.
a0c26444.5b8,d29afeee.9dec.
5c1dd047.f35,c2db3b2a.05ab.
32f52587.d4e,272b04e3.fde2.
861389d9.956,afe582db.f671.
4c4757f2.87d,71da2069.59eb.
3d3d1119.373,37226897.423b.
b0c881a4.163,08902e91.a0ff.
8989b794.30b,04de9f43.3fb8.
7b741c64.c11,dea1b4ed.5a70.
344ae2f9.0da,df221790.ec5f.
bc82f402.277,98f08ad9.be0b.
dcd5a9f4.fe6,857278d4.0acf.
2e2846d9.53e,43c9b8cc.8bf4.
2056ecda.307,1b7612d7.6e43.
4d7fa8cc.3b2,94c25059.a0ca.
1e244598.0b0,ef1fe491.aadd.
6477ab18.730,3eb686fd.b0c4.
ba407530.1e6,751960f0.fc8e.
56c1450f.f7d,7134a167.038f.
33def3ef.eb5,689844cb.9b94.
c36ff027.cc0,60c3acc6.0223.
8bd00204.fe7,e076412f.b9b4.
1210b4a2.1dc,d2eeb648.7c95.
52a0290b.b51,26010735.c367.
b7c3d6d3.ae8,0119adfa.71fb.
3a9c389a.32f,20fb0468.f5e1.
14b88f7f.d4b,52cb4471.42d3.
00b22007.436,75b3a32a.52e6.
f92dd939.ea9,beaff0a0.1062.
a58bebcd.5f5,cf55fd75.7b69.
b33228b8.014,318464fb.7866.
28457a51.855,e373ff36.9213.
eeb8a7ce.a22,bf4c8d41.7d19.
6f0c7de7.895,7e7b8aa4.c5bc.
99d6c54b.945,dffa4e79.68fc.
276ad897.1a2,4cf2aec0.f2c0.
6ded76da.d13,9370e6b3.6e91.
73105371.fe8,03e720d3.39ee.
b5bfcf89.b48,7c132ece.cc32.
20d5fdd9.9f5,113fe081.cdff.
16620baf.e88,7ee57e18.49ed.
da511bbd.d5e,94bf9aab.48af.
1ab9ba1b.7e6,9825d8c4.99b7.
0230de5a.606,4d3019ad.5af5.
56c0cb8f.5dd,558f1326.3f1c.
ccc71ab0.f88,dee61505.adf2.
8857d283.e93,4fed3f43.ed99.
4cf93705.025,987676cc.7f2e.
c92bad58.7d8,80e94360.dd1a.
4cc28dc0.13b,bf2b38c4.85a3.
b8c5461f.337,50b3a47a.2667.
c9ee446a.292,e0ec4bb0.3410.
e8b41663.5d3,d25a79f1.4097.
d049a3d4.7c0,e9536518.7528.
59d6879b.698,fa7c7685.27ab.
15a67160.db2,3a2e6db7.6ac1.
46e6eacd.df7,82a26dbd.c933.
4af8dcdb.5d2,2e15fd68.a7cb.
dedfda87.1dd,2d3901d1.2510.
f9f2c9a5.be2,a2b98117.f98c.
f3e81771.602,4cdc3d1d.b01b.
f200e3f1.e81,8d38177e.14ca.
8a7e0296.9df,f2674c25.9188.
a2d03fae.165,eba0cf05.e49f.
10c9e5f3.fa3,236b62fc.c96b.
8eda6621.c34,22e76437.0836.
9ed3cc58.305,3dac3213.4c71.
3a324a0c.d31,333d719b.6884.
e6d2fd5e.e04,7f5d6667.b482.
971ffb37.8ee,6ab7586c.71a1.
2ef1fd04.9f4,754a7365.b6ff.
7d2279b1.016,2a71d873.b1e2.
10dd1536.1ab,27311f5a.69e0.
4490dde3.31c,63b9ba57.3e21.
5afea188.696,79b8fa42.8a84.
cf330099.d54,27bbd3de.9afe.
08c93039.c86,9921d9ce.3a3e.
18cebb4b.0d6,422239ca.e8c1.
08babd3e.5e3,d80f165d.18c9.
1f038d52.1df,02255f70.56ed.
72a5dc03.e7f,a0d3fcc1.9641.
7323fe5c.95b,74f8b05c.080d.
c872740b.71f,d99965c9.d900.
dbd7b638.890,47abee22.990b.
bae433a7.8d6,96e40bb5.2fff.
50e16c17.46c,c294e5b0.a82d.
a96a17ae.c06,97db2e88.f006.
d1b77b75.49c,a25b329e.8ec4.
9433d9f8.4c6,9c75edfa.7272.
fd8e4c63.649,eb6fcbd5.0df1.
b1a71fb4.792,6d8b69c9.ccfe.
3cc1e2b5.c3d,75bd634c.cfd6.
28d9e7c2.25d,b4f5948b.bae5.
08ff5257.1de,acd27194.fdb8.
ea7effd8.49d,b9387169.9c18.
fc4800f1.d41,e4005184.3509.
bdee0da9.847,46de058a.b90b.
93226227.662,88b3f9cf.dfbb.
131a213b.821,be9e030b.33a1.
fdede1d8.f99,b1c761b0.e265.
44c01218.fc5,ade2c2ee.1018.
c6c85a83.5d0,7a4c1b0f.49b7.
51d016c1.46e,6f956c32.2f14.
31f58fe1.183,8a8612ff.20dc.
b15e2ad6.a02,d443561f.8326.
08ed9a99.88d,84d9f49b.7c7c.
fcca2318.b55,1f4042c5.4ad1.
bec32e01.42b,593832d1.77b5.
afdd25b4.27a,ede37313.d15e.
477985ae.431,5fdec6e6.47de.
7899a8b9.df5,761b5fb4.c8ff.
37e5e560.22c,e02c9ad1.3628.
58ecd0ee.ff1,3a56147d.c2d4.
16d00ef5.804,d7b23fa6.2500.
cc99ef8b.2be,39cde113.18e3.
a3c60734.5a1,9806c93e.170e.
ee06b35e.ed6,b38a92d2.fffb.
fc0a5c1b.f2f,d6c693bf.bc8f.
64056e22.638,5fae9b39.2c92.
ebbc2a91.d96,a29a2bdc.de14.
e4109ea8.6fb,9c07b343.97fd.
bc660ef9.7b8,d63adc82.cd27.
09e751be.2a5,780e428a.a2ee.
bf6df8fb.ae1,2b0e8289.f555.
4860c572.a6a,36ba0839.02b7.
59c17dec.346,4f33440d.9409.
c8467141.acf,9c2d9781.d151.
ee2af39d.9e1,c7c317f8.eaa0.
28e2a157.7e2,114ec0a9.ff14.
fe28e760.917,6e520b5c.4148.
5bc38a03.006,15abd54c.5a88.
e0f77649.a25,430271d0.8dd2.
873b5e39.f67,5f32fa11.e049.
695721b0.9b3,9154e24f.0d9f.
18d33bb9.346,2e08200b.7404.
ae42c6c6.391,793dab49.a06d.
5939d271.cd7,fe3bf8f1.0a3d.
d44c1874.2f5,0d867a25.31bb.
8a50bda9.d95,6361178e.ab1e.
cf11a628.199,6152d4fe.1fde.
3168e546.b28,136301b3.a440.
ea6748e9.019,910c2ae3.2fdb.
ee60193f.b94,185b529a.6218.
0c4ae00d.f52,2c1e3c4c.6f1e.
6915a47c.3f9,2512a017.6475.
3b6aa7f6.d0b,e2ee9eba.be9f.
2383d027.7e5,ed70b28c.7e6b.
049aa438.e7a,5f0baa15.b30d.
251b7582.f18,06bf8b5c.88b2.
b6ba8d35.e82,7ead365f.061a.
e9641f08.1a2,01b23005.6d12.
9063e141.fbe,0ebfaa05.7116.
f5fe9ce4.d64,6a044d31.a8ba.
b7441056.a09,f0fdfc01.a2b4.
b15221c5.6e2,08a8162a.9639.
8fe1e2db.24d,78ba1989.e64c.
293fae2f.584,d86beb13.1e69.
0118b28f.f1a,aac76e3a.14ea.
3b3ade6f.c01,a5ffe9f0.a2de.
558aa063.d91,4190a33a.8541.
297f4b82.4b6,7e129369.6bc6.
3ece9519.1f6,36576328.a374.
190dab43.dfb,168bfc21.3f52.
c53f41a9.2bc,341fba62.1be8.
45337de3.c36,c14efea8.7547.
b4416324.6cf,6832605a.7c97.
70c533a8.0bb,0ce22e23.752f.
f8574f6e.c1b,15b95da5.75b6.
256fd12c.f23,00a27552.544d.
c4fe2f28.2df,4fc0ecb9.b926.
1fee8706.c7e,77cbb1df.5207.
7a330f6b.9cf,7940799a.b97b.
e26f7501.a89,b127da11.e8af.
daa66dba.c54,7b73a91d.4de9.
8b6a97fb.02c,307eb9d9.4481.
3981e9be.6fe,2947c77f.8885.
756f136d.c34,3fc81668.187d.
5ac3bde3.d82,d94e8fe2.49da.
311c7fa1.a93,7444a1e3.24dc.
e2781bc0.431,24fc559d.2f14.
06e17215.b58,ead791c2.157d.
22ebb648.17e,41bd4d5c.bc86.
665dadcd.c0b,7feef1a8.c02f.
8dbb33b4.c59,96489a9a.b590.
19a98a79.d3c,3f87d3ad.2bee.
6e8618dd.4de,766453f0.f9f2.
309fa757.6e2,98629dd2.a1e6.
d5866c71.670,a0dd998a.1e3a.
b46cf50e.e91,500750c6.c42a.
947a33a1.d48,0afacf83.c843.
cbd466ed.5a4,9111b7e6.1a59.
e9a74db2.b00,b5b23707.99cf.
702b61df.46c,70d810be.eaf3.
0c1cf999.dc2,d9829cc7.430f.
66c8c6bd.84f,66906d1c.df52.
eb3d9d8a.fc0,8728d5f3.9ba2.
518f0b47.580,55983226.1afb.
d184cd0b.89a,75f40296.3091.
d60bbd66.13a,906a25ed.2b8a.
0e18b54a.e7f,65eb882f.a2c1.
b826a480.b92,be791ec0.9c9f.
36964968.349,22628fa5.44cb.
89851838.665,21416dc0.622b.
7aa36051.031,b9ae6e1c.7329.
b2f7cca4.d10,ea82c35e.9447.
60da23ee.868,7ed2d250.0f05.
3a935a1d.a39,e7cf16ae.5f7e.
6348d1b1.738,c9dbd58d.6b0e.
0afc6e12.ba1,09fa6f44.a68c.
fea1dfa8.9ac,349728b9.d181.
7087d371.04f,211caaa0.5fca.
24c85bd2.2ba,857016c1.0b72.
36d57e2c.dbe,a08b4353.f89a.
3f7aae6c.d9b,6b457c5e.8684.
bc47ed5e.111,e8ebe756.ebaf.
ac7954fe.e19,3192bc8d.aeac.
949f1c23.5a2,cf1ce83c.a500.
12334ec2.16e,1a70c77d.fc4f.
9c233e65.569,7386d991.ebd7.
50b06fda.377,e078309c.dc90.
06e94420.0b5,81b09b35.338b.
5f3485d0.f9f,bed38dc0.4df9.
e595dd32.76a,7d49f2d6.2fdc.
35f3afe3.623,8a313bfb.8a68.
dddd7129.055,4d918001.aab4.
9e2a6ada.b99,5a397619.5c75.
45795fc6.817,e991b9eb.4f7e.
8081ea59.567,e785f02c.76d4.
0d8a036a.478,06e21540.b923.
34ac1d1e.b86,f5a51ead.5d41.
9585c000.5e3,f61e54af.341c.
e88fb361.11e,a26115bd.3fa7.
94bfe4ee.11b,c732d2b4.415a.
7752d281.d15,b6b8315b.81ca.
1da24f56.09b,ead0f615.57be.
44d18031.ceb,37b784ed.0d03.
5da999b2.ce6,10853b9d.3380.
13ac3c5d.ae8,646666d1.8047.
2b81612c.97d,1183ba11.77ff.
7626a2c5.2e1,d52c678a.0643.
6a0f0048.ac7,29bfc99c.b3a1.
6e819191.2ff,24d39362.f14e.
e8c461b1.0bb,366d9736.4f75.
6733bd18.6a5,282570bd.bf5f.
9f395d0f.771,9f30c782.d2ed.
e6a74816.45b,29a4e2af.4e37.
5f67ea27.13a,a1e80dfe.bdcc.
4e17e790.495,475f8903.a95d.
7cdf9b86.21f,11abf793.d5ff.
e16b4e08.f1a,79068113.9c2f.
c03a466c.6fc,4b8cc2e5.e17c.
968ad035.cf7,0f3340b0.c8fe.
d0c920fb.0b1,2b66fffb.f3e8.
e8625c4f.320,fba0a82a.7e8d.
b03caa21.f09,d98a76b1.5d08.
53fa3b39.0d5,afe9488b.0dda.
d03250da.3de,bc5dc165.f363.
1470363b.58d,41988db5.bac3.
5941cb3f.0b8,de800fd6.72c8.
5226189e.f73,19b30937.bdf5.
0fed7559.a17,a4259b6e.9c6e.
9cffffc3.6cc,27709419.5344.
d83d09ee.840,ed0bc9e3.f6bd.
4e1b4057.d3e,2ed478b6.a666.
4a996aa2.0a2,0d1e0c0e.0760.
2d3fa0e2.42c,aeadadbf.8884.
f6191990.4ef,0ae8c5eb.6aee.
5c9de711.677,ff6df78f.1440.
a0dd152a.1ee,9bf05211.4d0e.
97de4de7.8e0,219060e7.016a.
2c0ffac2.9ef,5392f38c.18c6.
f99fa958.0e1,7e605c4d.d36f.
f3916e08.589,5a37f66a.8101.
0ff9ef56.33e,435d7af2.e84c.
c491dd74.bb3,288a141f.b86c.
06540625.3e7,fa06dd3b.9dec.
fa9380da.fed,7f8bf230.ac18.
7a350790.4c6,c4647fac.b76d.
360a8723.48e,ec858a8b.c638.
d035980c.ee9,a91f30f5.4dde.
03369fc3.b02,47062c61.7246.
3fb75424.261,a19982e1.c832.
3e2fd197.125,b5dfdea8.147b.
bf7c1150.98f,3a96b3f1.9d08.
23b930a9.8d8,6e81939b.87b2.
4c860919.3fb,3fd3ecc1.2103.
437930b5.397,92c8146f.9c47.
4299f897.dbf,8ef4b1fd.7f97.
2a8553ae.a15,b08e5cfb.33ff.
c5e76511.a57,948f113f.7d28.
64ee5acf.bc9,772ad9c7.3cf1.
a090575c.641,2de08e8a.1657.
ad60dc11.d28,365a1019.10a1.
3d51bde7.727,80591c99.85c1.
aff6b7f7.737,e0355209.7244.
99e9fdbd.e78,d64f9b7b.6476.
2ec0974f.41d,0355a1bc.2b7c.
f630fb79.8c5,8f2d272d.fbf1.
980823c4.570,5acd1265.54d4.
9c788b09.8e2,9c87bd4c.3b24.
edb028ec.bda,f635cbf5.6636.
961f8e22.e74,a1f7de82.0523.
c65e5876.9db,a6fedd79.bee5.
bae151e2.591,01b8d8b5.89a2.
125f8ae0.3c1,c8b4c442.f8ff.
5383694a.a7a,5a147d25.4c5a.
18cbf988.e0e,3ca5feea.b244.
0485f9c0.b23,5c6facc4.1aaf.
efb75972.d03,090aa2e3.31be.
087dc0af.028,0fa537e0.011d.
8a07010d.e32,ff8ddba2.a567.
6eff70f2.c0a,4bd44ab2.d6bf.
f0c9fea4.dae,069d4ea3.54ef.
2fee017c.5b9,31efc0c8.391f.
63596865.0cc,13446067.ba4e.
1b7bf2aa.766,8a2b8224.180b.
138026da.14b,de620547.9513.
628efd2b.7f1,2ff536e6.df3a.
4456e667.4ec,d8cc24bc.fde2.
7f722598.a4d,02531e28.3691.
09e160d2.98c,d6c4c49c.b6af.
bee40ce7.630,37f1d1b2.32ff.
08e9bba5.24d,4b4ffc11.af8b.
8c726884.6b3,fb8c3d3d.db12.
8b4c5e6d.a11,f2181408.6dd0.
34afd808.a00,fddf7a48.9444.
317278a9.fbc,0d7bee76.a196.
bd083783.ab0,11fef7a0.42a3.
d530a8e7.a51,0a1c45c7.38d1.
7bb99521.99b,8bba189c.5eb4.
7c0cff74.d6b,efe1d31f.c3b3.
504f276c.a2b,0039ac41.b201.
a174d5e9.009,8d8f5ffb.1e6d.
25376d94.62d,6621098a.871d.
c457dac6.757,c504e601.eec3.
e94efa54.42a,37c83a9b.7557.
12f66d49.f1b,446e7d2d.4a3a.
eb8aed5f.6bf,eb978349.9f77.
8ec11486.9da,1248e943.1ed7.
7490dea4.611,8a097e16.4942.
440ef056.9cf,e7d14f9a.639e.
61512c51.061,e3de94b1.7a8a.
3d1932b4.876,e5488479.9ef6.
d0b2837b.ac1,7bc313f5.a463.
2cc4302e.333,b5c1fdbb.dbdb.
4252b2a1.3ed,0f2f3bef.73e8.
e6d525f9.413,dcc0220a.8aca.
8ef99c33.6a4,78421a55.8787.
d8f608d6.ef4,5f729221.1d8e.
d4b566e2.65e,70acdf7d.635a.
9cd5977c.b4b,1aaf687f.7e0a.
5814c348.4db,3122fb1f.341b.
86aa3afd.94d,2079368d.ec84.
c2677759.ce7,5ca2454f.2bd5.
7e8da015.ffc,f2cc6379.1a14.
5a93c2f9.fbb,82780c22.2482.
676cd559.111,f2a50653.d994.
39919e43.3d5,8f46f62d.9626.
9e6c78ac.da9,c7da348d.18ad.
dc95d6e3.f4c,63be57ed.3526.
8a10270b.66b,edb061e1.762f.
d7721358.5a1,ff5a104b.a0a4.
fa881e33.36e,b1b101d1.aab3.
5e8aff84.cae,d0f2faad.d9e3.
a4ba1ccf.4ee,f61054bf.26dc.
12d442d9.137,aa40e49c.7783.
95fe2656.34c,ce8b8634.10cb.
b13c0e49.9a3,ce262a52.53bf.
36786ad7.455,4defe6e1.179f.
2379e9e5.37d,a0b49478.b047.
78b3b6fb.9b4,c9894e39.8ba0.
c75e519d.4ac,e51e2da6.a26f.
3f02650e.7be,25c005de.74ca.
22928626.31c,0197f533.0c3d.
2f4939fc.5a2,ea17c83d.2580.
501f74bd.119,c7f60864.769a.
1ed5dc28.b4a,4e1c8bf9.4359.
0f3dac02.daa,9171ab15.6692.
030215d2.e3b,7fda6fd3.3c76.
3a83e463.60c,7c7dae60.58f9.
0a54865d.270,30519a9f.b677.
6fc10efe.318,a7f275d7.c7c0.
27832d2f.26e,0c04a901.7c07.
ca148f26.863,cc45e797.7aad.
43b6ef7f.592,14261ded.6365.
3eb7d07f.315,66df3489.bf11.
7ca56f8f.1f3,cfbbf5f9.244d.
38f0a39d.3d9,b21fcefd.a9f8.
310d08b5.aab,83a07fdd.a83f.
8df1fa31.254,17e8be6e.ee07.
387d6a04.6ce,f7197c85.4f95.
63fa55dc.be8,4cc3a799.1c94.
89a0c5b8.53c,cf198bc1.b68b.
