matricula,rg
2025005597,262f435d.a00
2025033158,63b10f4c.305
2025040243,ae9d6378.d47
2025046941,fa8ab9a9.229
2025017369,0068a1a9.052
2025041779,008a59da.b2a
2025021169,d35429ea.7fe
2025025677,80b9eac0.928
2025038525,038256d0.0e6
2025039815,15996ede.c6a
2025022708,84b9a774.1c5
2025002534,95b5a55e.181
2025029861,0b5acd68.561
2025038694,cca8e111.435
2025029835,75f85ed8.922
2025026527,e891c333.8cd
2025015400,2c0cf091.ae1
2025003267,76d95315.dda
2025027559,7d1f9a2d.d66
2025016531,7240dd79.09e
2025007030,32917124.d4a
2025021899,c49b9516.aab
2025048209,b5d77f27.156
2025024291,b22f05eb.914
2025039680,27e98400.42d
2025035392,632db329.2db
2025000350,a675caa8.019
2025028015,59c9f65b.4ba
2025011474,7673253c.5eb
2025023576,ed15e62a.0d3
2025048930,7ee0a833.6c0
2025012089,a0c26444.5b8
2025016515,5c1dd047.f35
2025046592,32f52587.d4e
2025028003,861389d9.956
2025043171,4c4757f2.87d
2025035812,3d3d1119.373
2025018748,b0c881a4.163
2025036068,8989b794.30b
2025005872,7b741c64.c11
2025006236,344ae2f9.0da
2025033520,bc82f402.277
2025041636,dcd5a9f4.fe6
2025028704,2e2846d9.53e
2025004612,2056ecda.307
2025044384,4d7fa8cc.3b2
2025031103,1e244598.0b0
2025043696,6477ab18.730
2025026475,ba407530.1e6
2025000040,56c1450f.f7d
2025010111,33def3ef.eb5
2025018536,c36ff027.cc0
2025004086,8bd00204.fe7
2025046869,1210b4a2.1dc
2025033927,52a0290b.b51
2025034639,b7c3d6d3.ae8
2025025685,3a9c389a.32f
2025040266,14b88f7f.d4b
2025001926,00b22007.436
2025004066,f92dd939.ea9
2025023895,a58bebcd.5f5
2025007205,b33228b8.014
2025044624,28457a51.855
2025001620,eeb8a7ce.a22
2025025649,6f0c7de7.895
2025025200,99d6c54b.945
2025031435,276ad897.1a2
2025002778,6ded76da.d13
2025030969,73105371.fe8
2025008361,b5bfcf89.b48
2025041338,20d5fdd9.9f5
2025024723,16620baf.e88
2025009290,da511bbd.d5e
2025002099,1ab9ba1b.7e6
2025017172,0230de5a.606
2025014031,56c0cb8f.5dd
2025025326,ccc71ab0.f88
2025030814,8857d283.e93
2025040693,4cf93705.025
2025013072,c92bad58.7d8
2025033233,4cc28dc0.13b
2025041676,b8c5461f.337
2025042146,c9ee446a.292
2025012489,e8b41663.5d3
2025042516,d049a3d4.7c0
2025045898,59d6879b.698
2025040503,15a67160.db2
2025012744,46e6eacd.df7
2025029691,4af8dcdb.5d2
2025009472,dedfda87.1dd
2025041669,f9f2c9a5.be2
2025018127,f3e81771.602
2025012042,f200e3f1.e81
2025007662,8a7e0296.9df
2025005596,a2d03fae.165
2025044402,10c9e5f3.fa3
2025023339,8eda6621.c34
2025039343,9ed3cc58.305
2025008191,3a324a0c.d31
2025044586,e6d2fd5e.e04
2025010896,971ffb37.8ee
2025037979,2ef1fd04.9f4
2025046047,7d2279b1.016
2025023590,10dd1536.1ab
2025032825,4490dde3.31c
2025019836,5afea188.696
2025018911,cf330099.d54
2025012731,08c93039.c86
2025046026,18cebb4b.0d6
2025021324,08babd3e.5e3
2025035334,1f038d52.1df
2025008709,72a5dc03.e7f
2025049406,7323fe5c.95b
2025012674,c872740b.71f
2025022411,dbd7b638.890
2025011440,bae433a7.8d6
2025047372,50e16c17.46c
2025042761,a96a17ae.c06
2025006223,d1b77b75.49c
2025036673,9433d9f8.4c6
2025005278,fd8e4c63.649
2025022216,b1a71fb4.792
2025041902,3cc1e2b5.c3d
2025016285,28d9e7c2.25d
2025014240,08ff5257.1de
2025040846,ea7effd8.49d
2025036080,fc4800f1.d41
2025020075,bdee0da9.847
2025037418,93226227.662
2025026886,131a213b.821
2025040185,fdede1d8.f99
2025032455,44c01218.fc5
2025023113,c6c85a83.5d0
2025017766,51d016c1.46e
2025044992,31f58fe1.183
2025028596,b15e2ad6.a02
2025017087,08ed9a99.88d
2025010521,fcca2318.b55
2025021094,bec32e01.42b
2025033754,afdd25b4.27a
2025028020,477985ae.431
2025002937,7899a8b9.df5
2025031684,37e5e560.22c
2025021517,58ecd0ee.ff1
2025028336,16d00ef5.804
2025028535,cc99ef8b.2be
2025026787,a3c60734.5a1
2025001756,ee06b35e.ed6
2025032411,fc0a5c1b.f2f
2025029906,64056e22.638
2025007676,ebbc2a91.d96
2025009059,e4109ea8.6fb
2025008932,bc660ef9.7b8
2025024768,09e751be.2a5
2025026605,bf6df8fb.ae1
2025009452,4860c572.a6a
2025046257,59c17dec.346
2025027426,c8467141.acf
2025022912,ee2af39d.9e1
2025010721,28e2a157.7e2
2025023720,fe28e760.917
2025023023,5bc38a03.006
2025033096,e0f77649.a25
2025033564,873b5e39.f67
2025044513,695721b0.9b3
2025026281,18d33bb9.346
2025008128,ae42c6c6.391
2025011546,5939d271.cd7
2025014841,d44c1874.2f5
2025007787,8a50bda9.d95
2025030804,cf11a628.199
2025044415,3168e546.b28
2025040391,ea6748e9.019
2025019649,ee60193f.b94
2025047600,0c4ae00d.f52
2025013783,6915a47c.3f9
2025019548,3b6aa7f6.d0b
2025005775,2383d027.7e5
2025033099,049aa438.e7a
2025026703,251b7582.f18
2025044041,b6ba8d35.e82
2025044294,e9641f08.1a2
2025012165,9063e141.fbe
2025021925,f5fe9ce4.d64
2025028344,b7441056.a09
2025011025,b15221c5.6e2
2025008886,8fe1e2db.24d
2025026419,293fae2f.584
2025032572,0118b28f.f1a
2025009636,3b3ade6f.c01
2025049755,558aa063.d91
2025017090,297f4b82.4b6
2025010190,3ece9519.1f6
2025026588,190dab43.dfb
2025026467,c53f41a9.2bc
2025032386,45337de3.c36
2025010771,b4416324.6cf
2025027918,70c533a8.0bb
2025012881,f8574f6e.c1b
2025032570,256fd12c.f23
2025027718,c4fe2f28.2df
2025013936,1fee8706.c7e
2025048621,7a330f6b.9cf
2025031144,e26f7501.a89
2025013667,daa66dba.c54
2025021165,8b6a97fb.02c
2025034670,3981e9be.6fe
2025008460,756f136d.c34
2025035481,5ac3bde3.d82
2025034787,311c7fa1.a93
2025033489,e2781bc0.431
2025024267,06e17215.b58
2025016646,22ebb648.17e
2025020679,665dadcd.c0b
2025012100,8dbb33b4.c59
2025047995,19a98a79.d3c
2025041791,6e8618dd.4de
2025042099,309fa757.6e2
2025021526,d5866c71.670
2025046580,b46cf50e.e91
2025043278,947a33a1.d48
2025040754,cbd466ed.5a4
2025018616,e9a74db2.b00
2025027052,702b61df.46c
2025005378,0c1cf999.dc2
2025027942,66c8c6bd.84f
2025012142,eb3d9d8a.fc0
2025036560,518f0b47.580
2025014054,d184cd0b.89a
2025009143,d60bbd66.13a
2025048221,0e18b54a.e7f
2025030929,b826a480.b92
2025043937,36964968.349
2025017478,89851838.665
2025014826,7aa36051.031
2025011996,b2f7cca4.d10
2025028825,60da23ee.868
2025024909,3a935a1d.a39
2025024732,6348d1b1.738
2025027001,0afc6e12.ba1
2025021554,fea1dfa8.9ac
2025043205,7087d371.04f
2025012588,24c85bd2.2ba
2025044199,36d57e2c.dbe
2025006401,3f7aae6c.d9b
2025038402,bc47ed5e.111
2025045949,ac7954fe.e19
2025031543,949f1c23.5a2
2025047381,12334ec2.16e
2025031882,9c233e65.569
2025003070,50b06fda.377
2025041943,06e94420.0b5
2025033905,5f3485d0.f9f
2025035860,e595dd32.76a
2025042655,35f3afe3.623
2025033679,dddd7129.055
2025013965,9e2a6ada.b99
2025049702,45795fc6.817
2025012647,8081ea59.567
2025032305,0d8a036a.478
2025036447,34ac1d1e.b86
2025004720,9585c000.5e3
2025018240,e88fb361.11e
2025015821,94bfe4ee.11b
2025034245,7752d281.d15
2025018646,1da24f56.09b
2025018114,44d18031.ceb
2025039926,5da999b2.ce6
2025017423,13ac3c5d.ae8
2025003021,2b81612c.97d
2025000546,7626a2c5.2e1
2025015042,6a0f0048.ac7
2025037268,6e819191.2ff
2025047091,e8c461b1.0bb
2025013709,6733bd18.6a5
2025043188,9f395d0f.771
2025037622,e6a74816.45b
2025008306,5f67ea27.13a
2025016791,4e17e790.495
2025048006,7cdf9b86.21f
2025012752,e16b4e08.f1a
2025013846,c03a466c.6fc
2025014682,968ad035.cf7
2025023775,d0c920fb.0b1
2025012191,e8625c4f.320
2025014281,b03caa21.f09
2025003574,53fa3b39.0d5
2025007696,d03250da.3de
2025046926,1470363b.58d
2025013293,5941cb3f.0b8
2025031013,5226189e.f73
2025038873,0fed7559.a17
2025001993,9cffffc3.6cc
2025002514,d83d09ee.840
2025016464,4e1b4057.d3e
2025042295,4a996aa2.0a2
2025021750,2d3fa0e2.42c
2025036285,f6191990.4ef
2025007211,5c9de711.677
2025034785,a0dd152a.1ee
2025041564,97de4de7.8e0
2025034529,2c0ffac2.9ef
2025028606,f99fa958.0e1
2025013512,f3916e08.589
2025045775,0ff9ef56.33e
2025026989,c491dd74.bb3
2025043186,06540625.3e7
2025014739,fa9380da.fed
2025024174,7a350790.4c6
2025027315,360a8723.48e
2025031071,d035980c.ee9
2025001850,03369fc3.b02
2025004163,3fb75424.261
2025012908,3e2fd197.125
2025016678,bf7c1150.98f
2025041152,23b930a9.8d8
2025014391,4c860919.3fb
2025028047,437930b5.397
2025002811,4299f897.dbf
2025026220,2a8553ae.a15
2025007691,c5e76511.a57
2025007739,64ee5acf.bc9
2025000014,a090575c.641
2025002438,ad60dc11.d28
2025031205,3d51bde7.727
2025028185,aff6b7f7.737
2025021851,99e9fdbd.e78
2025044405,2ec0974f.41d
2025020027,f630fb79.8c5
2025000195,980823c4.570
2025012334,9c788b09.8e2
2025035763,edb028ec.bda
2025025883,961f8e22.e74
2025046000,c65e5876.9db
2025005294,bae151e2.591
2025015155,125f8ae0.3c1
2025020781,5383694a.a7a
2025019780,18cbf988.e0e
2025015074,0485f9c0.b23
2025047400,efb75972.d03
2025045882,087dc0af.028
2025046132,8a07010d.e32
2025019211,6eff70f2.c0a
2025043814,f0c9fea4.dae
2025040131,2fee017c.5b9
2025014838,63596865.0cc
2025006035,1b7bf2aa.766
2025029351,138026da.14b
2025027142,628efd2b.7f1
2025028305,4456e667.4ec
2025024606,7f722598.a4d
2025025174,09e160d2.98c
2025004815,bee40ce7.630
2025040430,08e9bba5.24d
2025047062,8c726884.6b3
2025028176,8b4c5e6d.a11
2025011136,34afd808.a00
2025024268,317278a9.fbc
2025015194,bd083783.ab0
2025043236,d530a8e7.a51
2025045267,7bb99521.99b
2025007036,7c0cff74.d6b
2025019900,504f276c.a2b
2025048183,a174d5e9.009
2025031414,25376d94.62d
2025032078,c457dac6.757
2025037664,e94efa54.42a
2025014922,12f66d49.f1b
2025007658,eb8aed5f.6bf
2025026515,8ec11486.9da
2025009620,7490dea4.611
2025033403,440ef056.9cf
2025033173,61512c51.061
2025021684,3d1932b4.876
2025016934,d0b2837b.ac1
2025006469,2cc4302e.333
2025042577,4252b2a1.3ed
2025045622,e6d525f9.413
2025014742,8ef99c33.6a4
2025039894,d8f608d6.ef4
2025014197,d4b566e2.65e
2025008371,9cd5977c.b4b
2025039030,5814c348.4db
2025025400,86aa3afd.94d
2025041683,c2677759.ce7
2025027355,7e8da015.ffc
2025032303,5a93c2f9.fbb
2025004638,676cd559.111
2025027793,39919e43.3d5
2025023138,9e6c78ac.da9
2025038299,dc95d6e3.f4c
2025049284,8a10270b.66b
2025025725,d7721358.5a1
2025020932,fa881e33.36e
2025046063,5e8aff84.cae
2025029075,a4ba1ccf.4ee
2025047017,12d442d9.137
2025040053,95fe2656.34c
2025037540,b13c0e49.9a3
2025030624,36786ad7.455
2025039832,2379e9e5.37d
2025008931,78b3b6fb.9b4
2025035040,c75e519d.4ac
2025045443,3f02650e.7be
2025031028,22928626.31c
2025033411,2f4939fc.5a2
2025034987,501f74bd.119
2025021540,1ed5dc28.b4a
2025034167,0f3dac02.daa
2025001352,030215d2.e3b
2025029273,3a83e463.60c
2025032964,0a54865d.270
2025008493,6fc10efe.318
2025020619,27832d2f.26e
2025041442,ca148f26.863
2025044261,43b6ef7f.592
2025044004,3eb7d07f.315
2025030391,7ca56f8f.1f3
2025045841,38f0a39d.3d9
2025004072,310d08b5.aab
2025049171,8df1fa31.254
2025015314,387d6a04.6ce
2025044112,63fa55dc.be8
2025001074,89a0c5b8.53c
2025013748,e7b9f4b0.434
2025034953,246f3ee5.2ae
2025034739,907335bf.517
2025044419,2dd184a8.925
2025028975,50d6d759.8e1
2025022337,6c097ea7.d5b
2025048320,b9b70fab.a25
2025043467,0bff3525.5d1
2025026726,285a0e65.31b
2025008656,1ad51de9.125
2025042637,79e851f4.3b2
2025016026,358f4d46.26e
2025032565,3c656f8e.99f
2025025347,ced18eba.3e6
2025020135,a5868572.1d9
2025045739,ca32c93c.c30
2025047121,725e4f51.077
2025017260,c8989fa9.4c7
2025003382,3c7a6f71.27b
2025012553,297b74a9.e98
2025043126,5573b958.5b3
2025002270,4f499c83.0c8
2025047327,6beaff49.397
2025015280,bfece206.04d
2025002585,a21e164f.7d7
2025021840,866ca173.566
2025004530,80d21a8c.62f
2025048950,bef9dcff.5c2
2025048292,8e4ef36b.9f5
2025031985,cef1ffbd.dce
2025030475,16cfd018.f38
2025023406,83608f7d.487
2025043530,c47cb856.47d
2025024876,43fdc06c.89a
2025010752,084b8cd3.f45
2025010643,1ba13d6b.24c
2025016601,bd6e675e.3da
2025031203,ce74fc37.ea3
2025039714,93bd818e.978
2025019142,08b8532d.176
2025043185,8407971d.62b
2025032807,57363ece.100
2025021609,cba838a8.bb0
2025017674,9c57e135.b2e
2025027481,9756d8b3.4bd
2025027256,811c65d2.a45
2025032533,99d2343d.7dc
2025025449,7fedc66c.5cb
2025031889,f417e5de.9b8
2025045385,b9cbf5fa.e7f
2025013556,b7de2354.418
2025025743,366d1880.2fc
2025011860,c84a9955.448
2025008455,f3b0b3ee.b7e
2025034023,1562027d.91a
2025048246,dc7a6dcb.9b3
2025038676,407d139b.a63
2025006775,3b9149be.651
2025044226,a5256d1f.247
2025026591,4e051f30.81f
2025000107,fc46a044.3af
2025022759,9df19cf7.c0b
2025008975,dd999255.0db
2025014515,26afea27.c5b
2025038818,c7c1fb02.21b
2025045031,854b1481.d9f
2025048479,4e716632.543
2025011278,70de54db.4e9
2025004864,fa9b68bb.6c6
2025044613,0bc2d572.101
2025005799,853ef39c.e48
2025032378,b920fc18.315
2025049522,4d3edcb0.164
2025014016,648f5a83.36a
2025025082,6ab2efcb.482
2025004624,6c88f316.95c
2025049517,f57ed917.a03
2025002134,71060a86.a8c
2025008290,6594ede0.f7f
2025014971,4176e797.6c2
2025016506,d2cf4c7d.bc5
2025016607,dc2ef76b.b57
2025008530,384f6ed5.667
2025020853,d656289d.be5
2025022096,9d6b1950.2d2
2025020668,d583686e.4d9
2025046194,da0f23d4.a81
2025016433,46a21489.989
2025046920,cfa0a0db.cb8
2025034513,d39ce8d8.3eb
2025019840,d484b19d.c6d
2025022641,1eaad178.b73
2025034552,2ab646b9.879
2025022423,992e7c2e.9f0
2025049483,cc739449.b5d
2025013872,887419bf.da6
2025035001,55f0a3f3.0f4
2025020487,4088b333.1b6
2025025071,65dd1189.1b7
2025047514,1371bb76.43d
2025048259,36f53f90.d1d
2025017983,ee295697.68c
2025019627,4a14a706.5c4
2025022754,e39fb2cf.aea
2025033064,c2bbfefc.6a8
2025002151,5f7c4b2a.751
2025002243,5cf29b35.180
2025010461,7d5872fc.6c9
2025028325,3e63c3e2.563
2025049572,a6c44be5.222
2025035826,ca6aa0ef.5c7
2025014376,4a84548b.43b
2025026617,9defd707.96b
2025015605,7767c1da.839
2025022784,8575e83c.ebb
2025010961,aa0d89c1.396
2025020234,217bea6f.830
2025046473,39841b51.854
2025024204,1a1966f1.06c
2025003140,5294943c.a72
2025022569,173585bf.602
2025004298,fdaa1e9d.215
2025033843,a5bfcc47.70f
2025043480,dc42739c.5b0
2025036923,3f0db279.f37
2025033217,bb84031d.e93
2025029304,fefffcaf.7f1
2025011507,02de1852.77a
2025046400,1906fb1c.c9c
2025036004,1233bce6.54b
2025016867,b27b89ea.350
2025022884,01500a6c.9a1
2025019732,3547dfc7.e80
2025011114,ee7358c9.899
2025046216,4df181c2.804
2025029360,933720a4.783
2025003943,67a332eb.98d
2025008888,5e7a9a66.228
2025032321,bf72420e.4ae
2025039638,775d573d.cc3
2025008874,556a0229.dca
2025038230,ce6c048d.954
2025037011,da3fec01.535
2025025258,5ecfa616.db3
2025004294,d52f1574.c67
2025037636,80039380.c73
2025042948,1a2ad4dd.4ba
2025008381,b107d233.2bf
2025001523,6ce3baa3.7fb
2025007661,04534888.7ef
2025041166,fdbf5228.0e7
2025044325,0ed5704c.ee3
2025040343,50acdc2b.f29
2025028492,f66a655b.200
2025012074,4fc4aec8.75a
2025046375,f7ab7259.8e7
2025006301,1792aa3d.873
2025046698,4d88b252.214
2025007294,634f357d.7de
2025005364,be580b9b.b47
2025032175,95299653.88c
2025043417,c6805f88.3bb
2025020083,ac0a53d7.408
2025025330,d0138472.a74
2025026665,8a556107.069
2025035993,c50fe1d1.270
2025001113,d2cf6d40.070
2025031550,fb3bdfe8.5a6
2025040080,ac6ae773.8e0
2025026393,c38da83b.665
2025048628,6bf10c9e.9ac
2025011360,75fbe87f.8b7
2025018793,aba0e93d.f48
2025039419,0bfdaffe.593
2025022795,eeb9e37a.f98
2025025570,6fe1a060.381
2025046677,02ebc9aa.68a
2025013718,30debc41.83e
2025039451,ba703c92.50d
2025017935,5ea7a3ff.c90
2025005498,b1fe5b05.a35
2025019819,3396060f.73e
2025009091,0ba2c62b.f03
2025022981,4915bab3.817
2025023511,1694a1a1.0b2
2025045363,77f37221.89e
2025006332,bb9e81e9.a65
2025049247,5b9dc74d.f18
2025016355,3c24d4b5.0a8
2025033005,461721b2.54f
2025020948,9b35a11f.15c
2025036115,779e8d2b.aa3
2025008406,67462fb5.b45
2025049924,3c4fb30f.c16
2025005468,bd0cbd5f.48b
2025049236,b2e2b4c0.85f
2025007604,22e86108.b22
2025047908,b5275428.19f
2025043740,6f0f4ad5.8b2
2025023760,b7fb0e0f.9a3
2025011941,556f2957.04d
2025020386,f9f96edb.fa8
2025041342,d4eb4f61.e64
2025000715,03403712.fca
2025008062,f6a2d2b3.76b
2025042703,66d3ee56.fab
2025036011,2aaef288.113
2025017995,a8f4748e.1cb
2025031017,aff1193c.51b
2025012730,c58a0d66.1da
2025028757,65b53e4d.e2d
2025039845,2750d1bd.881
2025007879,dab54cd3.0a9
2025031567,7e75dda3.9fe
2025024847,9262a196.f22
2025016529,03813448.235
2025001907,9992de6f.cfd
2025036780,ce0a5bf0.9c0
2025026587,eb975223.e1e
2025041706,9f871349.e86
2025004284,03df41ee.a17
2025020782,8030697b.d6f
2025016380,91af0581.c3f
2025019146,061597f2.cfe
2025027126,b9bd8876.adf
2025047714,b14fafef.3d3
2025028776,fc251689.6c6
2025003160,fc495606.59f
2025018810,61d8330d.531
2025008791,7c9404c3.71c
2025012571,1963cad4.275
2025036193,7e5b19c5.1cf
2025017801,bfd89735.c21
2025047075,275e43dd.bee
2025048581,a550b9dd.b0e
2025001654,6375dbc7.511
2025045727,91d0839f.786
2025046228,2b321ef1.344
2025037372,df1b8e41.877
2025020287,bf6668cc.3c8
2025011162,b44f947f.a08
2025039599,ebcf55ff.a18
2025003875,f1225d89.eac
2025029019,b137595a.73f
2025038952,36c769e7.87a
2025016092,328bc031.5ef
2025037129,449f0d3c.aea
2025025382,ac2d6173.40e
2025018488,e1700e06.d76
2025021991,1295faf5.ef6
2025002285,31486084.776
2025037045,2361e1cf.78b
2025015561,a2594b02.158
2025037159,a49bf4b8.0a8
2025000491,a932209d.78e
2025025605,b77f3210.391
2025048016,f44ca61a.eba
2025036690,9d1de9ff.bbd
2025049123,af1fded4.fe1
2025037842,cc6096c8.2a2
2025003181,2994a8c8.ea7
2025012259,fa4467e2.e97
2025015893,48b6c7ac.dec
2025002449,c8bfba64.a3f
2025014150,08a68a83.b17
2025002617,63bd8659.cd9
2025000504,fe1b16b1.58f
2025026128,9661f7f8.b6f
2025043449,1258dc3e.6b3
2025031558,9f0788d0.3e2
2025022758,55d04c67.26a
2025048145,f06cce48.330
2025032129,3f6f45b8.1ce
2025026926,3e56ac0c.eb8
2025037139,c196afd3.309
2025039826,384c3153.c05
2025047472,1d16369c.c21
2025008642,f68df896.003
2025027439,bc255ab2.937
2025037962,cdbb5b61.668
2025013408,977f63f4.fc1
2025041666,fad36638.1dd
2025033974,9f4ccec0.867
2025015622,9327582e.f6b
2025046566,ad352fd9.224
2025026867,ae545533.9ee
2025016429,95b0c98b.fe8
2025009559,dcd3f18e.85a
2025004027,57fbf921.b4d
2025016461,4d2d51cb.58a
2025028892,93d8ade0.607
